i,s,10^s,M,S,L
0,2.5,316,2.29e+05,3.5e+04,8.61e+04
1,3.93,8.48e+03,1.32e+06,6.07e+05,4.73e+05
2,5.36,2.28e+05,8.31e+05,6.37e+05,2.86e+05
3,6.79,6.11e+06,1.69e+05,1.82e+05,5.66e+04
4,8.21,1.64e+08,1.61e+04,2.22e+04,5.27e+03
5,9.64,4.39e+09,698,1.18e+03,222
6,11.1,1.18e+11,11.2,22.2,3.41
7,12.5,3.16e+12,0.0563,0.13,0.016
